Tool,File,Contract,Vulnerability,Severity,SWC-ID,Remediation,Description/More Info,Execution time,Total Time
mythril,smartbugs-dataset/reentrancy/reentrancy_bonus.sol,Reentrancy_bonus,State access after external call,Medium,SWC-ID: https://swcregistry.io/docs/SWC-107,Read of persistent state following external call,Estimated Gas Usage: 19871 - 115762,45.27860951423645,37034.187762737274
mythril,smartbugs-dataset/reentrancy/reentrancy_bonus.sol,Reentrancy_bonus,State access after external call,Medium,SWC-ID: https://swcregistry.io/docs/SWC-107,Write to persistent state following external call,Estimated Gas Usage: 19871 - 115762,45.27860951423645,37034.187762737274
mythril,smartbugs-dataset/reentrancy/reentrancy_bonus.sol,Reentrancy_bonus,External Call To User-Supplied Address,Low,SWC-ID: https://swcregistry.io/docs/SWC-107,A call to a user-supplied address is executed.,Estimated Gas Usage: 7032 - 61693,45.27860951423645,37034.187762737274
mythril,smartbugs-dataset/reentrancy/reentrancy_bonus.sol,Reentrancy_bonus,Transaction Order Dependence,Medium,SWC-ID: https://swcregistry.io/docs/SWC-114,The value of the call is dependent on balance or storage write,Estimated Gas Usage: 7032 - 61693,45.27860951423645,37034.187762737274
mythril,smartbugs-dataset/reentrancy/reentrancy_bonus.sol,Reentrancy_bonus,Unprotected Ether Withdrawal,High,SWC-ID: https://swcregistry.io/docs/SWC-105,Any sender can withdraw Ether from the contract account.,Estimated Gas Usage: 19871 - 115762,45.27860951423645,37034.187762737274
mythril,smartbugs-dataset/reentrancy/reentrancy_bonus.sol,Reentrancy_bonus,Unprotected Ether Withdrawal,High,SWC-ID: https://swcregistry.io/docs/SWC-105,Any sender can withdraw Ether from the contract account.,Estimated Gas Usage: 7032 - 61693,45.27860951423645,37034.187762737274
slither,smartbugs-dataset/reentrancy/0x941d225236464a25eb18076df7da6a91d0f95e9e.sol#L56-L81,Log,controlled-array-length,High,SWC-ID: https://swcregistry.io/docs/SWC- ,Medium,,0.7683181762695312,37034.187762737274
slither,smartbugs-dataset/reentrancy/0x941d225236464a25eb18076df7da6a91d0f95e9e.sol#L37-L50,ETH_FUND.CashOut(uint256),reentrancy-eth,High,SWC-ID: https://swcregistry.io/docs/SWC- ,Medium,,0.7683181762695312,37034.187762737274
mythril,smartbugs-dataset/reentrancy/0x941d225236464a25eb18076df7da6a91d0f95e9e.sol,Log,Integer Arithmetic Bugs,High,SWC-ID: https://swcregistry.io/docs/SWC-101,The arithmetic operator can overflow.,Estimated Gas Usage: 76761 - 341187,942.7285234928131,37034.187762737274
mythril,smartbugs-dataset/reentrancy/0x941d225236464a25eb18076df7da6a91d0f95e9e.sol,Log,Integer Arithmetic Bugs,High,SWC-ID: https://swcregistry.io/docs/SWC-101,The arithmetic operator can underflow.,Estimated Gas Usage: 7273 - 8739,942.7285234928131,37034.187762737274
